140180	г.~Жуковский, Россия	ул.~Жуковского, д.~1.	ФАУ <<Центральный аэрогидродинамический институт имени профессора Н.Е.~Жуковского>>	заместителю генерального директора -- начальнику центра прочности ЛА, канд.~техн.~наук, доценту \\ Михаилу Чеславовичу Зиченкову
105005	г.~Москва, Россия	ул.~2-я Бауманская, д.~5, к.~1	ФГБОУ ВО <<Московский государственный технический университет имени Н.Э.~Баумана (национальный исследовательский университет)>>	д-ру~техн.~наук, профессору \\ Щеглову Георгию Александровичу
443086	г.~Самара, Россия	Московское шоссе, д.~34	ФГАОУ ВО <<Самарский национальный исследовательский университет имени академика С.П.~Королева>>	д-ру~техн.~наук, доценту \\ Иголкину Александру Алексеевичу
119019	г.~Москва, Россия	ул.~Воздвиженка, д.~3/5	ФГБУ <<Российская государственная библиотека>>
